Week,Desde,Hasta,Hoteles,Hotel id (P),Hotel,Campaigns,Impressions,Clicks,Conversions,Searchs,Bookings,Cancel_bookings,Nights,Conversion,Discount,Inventory,H.Ventas,H.Cancelaciones,PX.Ingresos,PX.Costos,Roi
18,2026-05-03,2026-05-09,1,8830,Hotel & Spa La Cheminée,14,3468,139,66,67,1,0,8,1.45,25.68,75.8,3.112.644,0,"435.770,16","63.113,43",590.46
18,2026-05-03,2026-05-09,1,8863,Hotel Del Dique,14,1074,97,52,69,1,0,2,1.12,24.42,88.88,253.355,0,"35.469,70","18.836,32",88.3
18,2026-05-03,2026-05-09,1,8871,Urbana Suites,14,952,65,6,24,0,0,0,0,0,32.51,0,0,0,"19.659,70",-100
18,2026-05-03,2026-05-09,1,8991,Dunas Del Este,14,1284,124,40,61,1,0,2,1.77,8.13,71.22,340.041,0,"47.605,74","24.424,85",94.91
18,2026-05-03,2026-05-09,1,9306,La Casa de Melgar,14,2214,139,34,55,3,1,10,4.92,29.17,60.04,1.107.371,0,"155.031,94","46.139,65",236.01
18,2026-05-03,2026-05-09,1,9597,Apart hotel Jorge 1,14,3817,239,42,32,0,0,0,0.72,21.72,61.39,0,0,0,"27.602,43",-100
18,2026-05-03,2026-05-09,1,9775,La Anita Lofts de Montaña,14,2598,221,67,123,1,0,1,1.32,0,48.28,215.000,0,30.100,"24.028,40",25.27
18,2026-05-03,2026-05-09,1,11413,Rayentray Grand Hotel,21,53138,1800,594,636,4,0,7,1.4,9.8,71.32,833.505,0,"116.690,70","109.882,04",6.2
18,2026-05-03,2026-05-09,1,14231,ALWA Suites,14,9587,239,53,74,0,0,0,2.72,8.82,67.52,0,0,0,"18.357,07",-100
18,2026-05-03,2026-05-09,1,14770,Bungalows Mexico,14,11932,594,58,90,0,2,0,0.29,0,78.69,0,330.578,0,"0,06",-100
18,2026-05-03,2026-05-09,1,14872,SAMAY HOTEL BOUTIQUE,14,18020,1122,51,71,1,0,2,0.87,0,80.87,219.329,0,"30.706,06","35.991,28",-14.68
18,2026-05-03,2026-05-09,1,15141,Patagonia Travellers Hostel,14,649,46,12,30,2,1,8,6.31,274.23,67.33,695.362,0,"97.350,68","21.728,74",348.03
